name,ticker,cik
Apple,AAPL,0000320193
Microsoft,MSFT,0000789019
Alphabet,GOOGL,0001652044
Meta,META,0001326801
Intel,INTC,0000050863
IBM,IBM,0000051143
Johnson & Johnson,JNJ,0000200406
Pfizer,PFE,0000078003
UnitedHealth Group,UNH,0000731766
Abbott Laboratories,ABT,0000001800
Medtronic,MDT,0001613103
JPMorgan Chase,JPM,0000019617
Bank of America,BAC,0000070858
Goldman Sachs,GS,0000886982
Wells Fargo,WFC,0000072971
Citigroup,C,0000831001
Walmart,WMT,0000104169
Amazon,AMZN,0001018724
Target,TGT,0000027419
Costco,COST,0000909832
Procter & Gamble,PG,0000080424
ExxonMobil,XOM,0000034088
Chevron,CVX,0000093410
Caterpillar,CAT,0000018230
Honeywell,HON,0000773840
